date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:33	92453/92453	---MCZ	200	added ('OK')	text/html	etag:W/%225682e725-16925%22	http://alliance-html.themerex.net/maps-vector.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/maps-vector.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:34	91717/91717	---MCZ	200	added ('OK')	text/html	etag:W/%225682e725-16645%22	http://alliance-html.themerex.net/maps-full.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/maps-full.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:34	99101/99101	---MCZ	200	added ('OK')	text/html	etag:W/%225682e71b-1831d%22	http://alliance-html.themerex.net/charts-d3.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/charts-d3.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:34	95919/95919	---MCZ	200	added ('OK')	text/html	etag:W/%225682e71b-176af%22	http://alliance-html.themerex.net/charts-flot.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/charts-flot.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:35	147238/147238	---MCZ	200	added ('OK')	text/html	etag:W/%225682e729-23f26%22	http://alliance-html.themerex.net/tables-basic.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/tables-basic.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	143897/143897	---MCZ	200	added ('OK')	text/html	etag:W/%225682e729-23219%22	http://alliance-html.themerex.net/tables-datatables.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/tables-datatables.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	106766/106766	---MCZ	200	added ('OK')	text/html	etag:W/%225682e72a-1a10e%22	http://alliance-html.themerex.net/tables-sortable.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/tables-sortable.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	111762/111762	---MCZ	200	added ('OK')	text/html	etag:W/%225682e729-1b492%22	http://alliance-html.themerex.net/tables-pricing.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/tables-pricing.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	4006/4006	---MCZ	200	added ('OK')	text/html	etag:W/%225682e730-fa6%22	http://alliance-html.themerex.net/utility-confirmation.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/utility-confirmation.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	9545/9545	---MCZ	200	added ('OK')	text/html	etag:W/%225682e731-2549%22	http://alliance-html.themerex.net/utility-register.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/utility-register.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	5099/5099	---MCZ	200	added ('OK')	text/html	etag:W/%225682e730-13eb%22	http://alliance-html.themerex.net/utility-forgot-password.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/utility-forgot-password.html	(from http://alliance-html.themerex.net/dashboard1.html)
13:05:36	5122/5122	---MCZ	200	added ('OK')	text/html	etag:W/%225682e730-1402%22	http://alliance-html.themerex.net/utility-coming-soon.html	C:/My%20Web%20Sites/PUERTO%20BAHIA/alliance-html.themerex.net/utility-coming-soon.html	(from http://alliance-html.themerex.net/dashboard1.html)
